,,,,,,,,,,PAGE: 1,
<< Back to Document Map,,,,,,,,,,,
,,,,,,,,,,,
ORINumber,Agency,Population,Murder,Rape,Robbery,Assault,Burglary,Larceny,Auto Theft,Total,Months
,,,,,,,,,,,
NJ0010100,ABSECON CITY PD,8252,,,,,,,,,
,Number of Offenses,,0,1,1,4,23,176,5,210,11
,"Rate Per 100,000",,0,12.1,12.1,48.4,278.7,2132.9,60.6,2544.9,0
,Number of Clearances,,0,0,0,3,2,19,0,24,0
,Percent Cleared,,0,0,0,250,25,39,0,42,0
,Number of Arrests,,0,0,0,2,2,35,0,39,0
NJ0010200,ATLANTIC CITY PD,38271,,,,,,,,,
,Number of Offenses,,10,18,182,101,130,1519,89,2049,12
,"Rate Per 100,000",,26.1,47,475.5,263.8,339.8,3969,232.5,5354,0
,Number of Clearances,,5,0,8,20,2,85,0,120,0
,Percent Cleared,,200,0,22,76,7,25,0,26,0
,Number of Arrests,,4,2,27,37,14,170,5,259,0
NJ0010000,ATLANTIC CO SHERIFF'S  OFFICE,0,,,,,,,,,
,Number of Offenses,,0,0,0,0,0,0,0,0,12
,"Rate Per 100,000",,0,0,0,0,0,0,0,0,0
,Number of Clearances,,0,0,0,0,0,0,0,0,0
,Percent Cleared,,0,0,0,0,0,0,0,0,0
,Number of Arrests,,0,0,0,0,0,0,0,0,0
NJ0018900,ATLANTIC COUNTY PROSECUTOR'S OFFICE,0,,,,,,,,,
,Number of Offenses,,0,0,0,0,0,0,0,0,12
,"Rate Per 100,000",,0,0,0,0,0,0,0,0,0
,Number of Clearances,,0,0,0,0,0,0,0,0,0
,Percent Cleared,,0,0,0,0,0,0,0,0,0
,Number of Arrests,,0,0,0,0,0,0,0,0,0
NJ0010400,BUENA PD,4405,,,,,,,,,
,Number of Offenses,,0,1,0,3,16,28,3,51,12
,"Rate Per 100,000",,0,22.7,0,68.1,363.2,635.6,68.1,1157.7,0
,Number of Clearances,,0,0,0,3,0,1,0,4,0
,Percent Cleared,,0,0,0,100,0,13,0,22,0
,Number of Arrests,,0,1,0,1,2,4,0,8,0
NJ0010700,EGG HARBOR CITY PD,4162,,,,,,,,,
,Number of Offenses,,0,1,10,9,38,130,5,193,11
,"Rate Per 100,000",,0,24,240.4,216.3,913.1,3123.5,120.2,4637.3,0
,Number of Clearances,,0,1,1,4,3,31,2,42,0
,Percent Cleared,,0,100,17,200,30,112,83,95,0
,Number of Arrests,,0,1,1,4,3,9,1,19,0
NJ0010800,EGG HARBOR TWP PD,43276,,,,,,,,,
,Number of Offenses,,0,0,10,42,91,558,23,724,12
,"Rate Per 100,000",,0,0,23.1,97,210.3,1289.4,53.2,1673,0
,Number of Clearances,,0,0,3,31,11,165,3,213,0
,Percent Cleared,,0,0,120,296,47,118,70,117,0
,Number of Arrests,,0,1,8,26,35,192,0,262,0
NJ0011100,GALLOWAY TWP PD,36467,,,,,,,,,
,Number of Offenses,,0,2,2,58,94,252,21,429,12
,"Rate Per 100,000",,0,5.4,5.4,159,257.6,691.1,57.6,1176.5,0
,Number of Clearances,,0,1,1,39,24,24,6,95,0
,Percent Cleared,,0,0,100,255,100,40,114,91,0
,Number of Arrests,,0,2,2,24,34,25,1,88,0
NJ0011300,HAMMONTON PD,14311,,,,,,,,,
,Number of Offenses,,0,1,4,20,25,78,12,140,12
,"Rate Per 100,000",,0,7,28,139.8,174.6,545.1,84,978.3,0
