,,,,,,,,,,PAGE: 3,
<< Back to Document Map,,,,,,,,,,,
,,,,,,,,,,,
ORINumber,Agency,Population,Murder,Rape,Robbery,Assault,Burglary,Larceny,Auto Theft,Total,Months
,,,,,,,,,,,
NJ0030300,BORDENTOWN CITY PD,3823,,,,,,,,,
,Number of Offenses,,0,0,1,1,1,21,1,25,11
,"Rate Per 100,000",,0,0,26.2,26.2,26.2,549.4,26.2,653.9,0
,Number of Clearances,,0,0,0,1,1,7,0,9,0
,Percent Cleared,,0,0,0,100,100,102,0,140,0
,Number of Arrests,,0,0,0,1,1,6,0,8,0
NJ0030400,BORDENTOWN TWP  PD,12323,,,,,,,,,
,Number of Offenses,,0,0,0,9,2,50,9,70,11
,"Rate Per 100,000",,0,0,0,73,16.2,405.8,72.9,568,0
,Number of Clearances,,0,0,0,5,0,18,0,23,0
,Percent Cleared,,0,0,0,300,0,147,0,142,0
,Number of Arrests,,0,0,0,5,1,23,1,30,0
NJ0038900,BURLINGTON CO PROSECUTORS OFFICE,0,,,,,,,,,
,Number of Offenses,,1,0,0,0,0,0,0,1,12
,"Rate Per 100,000",,0,0,0,0,0,0,0,0,0
,Number of Clearances,,0,0,0,0,0,0,0,0,0
,Percent Cleared,,0,0,0,0,0,0,0,0,0
,Number of Arrests,,8,0,1,4,0,0,0,13,0
NJ0030000,BURLINGTON COUNTY SHERIFF'S OFFICE,0,,,,,,,,,
,Number of Offenses,,0,0,0,0,0,0,0,0,12
,"Rate Per 100,000",,0,0,0,0,0,0,0,0,0
,Number of Clearances,,0,0,0,0,0,0,0,0,0
,Percent Cleared,,0,0,0,0,0,0,0,0,0
,Number of Arrests,,0,0,0,0,0,0,0,0,0
NJ0030600,BURLINGTON TWP PD,22857,,,,,,,,,
,Number of Offenses,,0,5,6,13,28,200,20,272,11
,"Rate Per 100,000",,0,22,26.3,57,122.5,875.1,87.5,1190,0
,Number of Clearances,,0,2,1,16,9,97,9,134,0
,Percent Cleared,,0,100,0,317,135,189,150,192,0
,Number of Arrests,,0,0,3,9,22,128,3,165,0
NJ0030700,CHESTERFIELD TWP PD,7567,,,,,,,,,
,Number of Offenses,,0,0,0,3,0,6,0,9,12
,"Rate Per 100,000",,0,0,0,39.6,0,79.3,0,118.9,0
,Number of Clearances,,0,0,0,3,0,0,0,3,0
,Percent Cleared,,0,0,0,300,0,0,0,153,0
,Number of Arrests,,0,0,0,2,0,0,0,2,0
NJ0030800,CINNAMINSON PD,16630,,,,,,,,,
,Number of Offenses,,0,1,3,11,26,291,14,346,11
,"Rate Per 100,000",,0,6,18,66.1,156.5,1749.9,84.2,2080.5,0
,Number of Clearances,,0,0,2,3,3,120,5,133,0
,Percent Cleared,,0,0,200,150,67,166,153,155,0
,Number of Arrests,,0,0,1,5,3,143,3,155,0
NJ0030900,DELANCO TWP PD,4509,,,,,,,,,
,Number of Offenses,,0,1,0,1,3,46,4,55,12
,"Rate Per 100,000",,0,22.2,0,22.2,66.6,1020.2,88.8,1219.7,0
,Number of Clearances,,0,0,0,0,1,3,0,4,0
,Percent Cleared,,0,0,0,0,100,30,0,31,0
,Number of Arrests,,0,0,0,0,2,3,0,5,0
NJ0031000,DELRAN TWP PD,16579,,,,,,,,,
,Number of Offenses,,0,0,3,5,23,182,7,220,12
,"Rate Per 100,000",,0,0,18.1,30.1,138.8,1097.8,42.2,1327,0
,Number of Clearances,,0,0,0,4,2,57,1,64,0
,Percent Cleared,,0,0,0,267,37,126,25,115,0
,Number of Arrests,,0,0,0,4,2,73,0,79,0
NJ0031100,EASTAMPTON TWP PD,5940,,,,,,,,,
,Number of Offenses,,0,2,1,0,12,34,4,53,12
,"Rate Per 100,000",,0,33.6,16.8,0,202,572.4,67.3,892.3,0
,Number of Clearances,,0,0,0,0,1,6,2,9,0
,Percent Cleared,,0,0,0,0,25,64,33,68,0
,Number of Arrests,,0,0,0,1,1,4,0,6,0
NJ0031200,EDGEWATER PARK TWP PD,8713,,,,,,,,,
,Number of Offenses,,1,4,3,8,28,88,16,148,12
,"Rate Per 100,000",,11.5,46,34.5,91.9,321.3,1010.1,183.7,1698.6,0
,Number of Clearances,,1,1,4,5,5,15,5,36,0
,Percent Cleared,,100,50,400,275,92,70,100,98,0
,Number of Arrests,,1,0,4,7,7,5,4,28,0
NJ0031300,EVESHAM TWP PD,45354,,,,,,,,,
,Number of Offenses,,0,5,8,14,52,407,13,499,11
,"Rate Per 100,000",,0,11,17.6,30.8,114.7,897.5,28.6,1100.2,0
,Number of Clearances,,0,3,3,10,7,50,1,74,0
,Percent Cleared,,0,233,83,410,51,51,25,62,0
,Number of Arrests,,0,1,6,13,10,58,1,89,0
NJ0031400,FIELDSBORO PD,529,,,,,,,,,
,Number of Offenses,,0,0,0,0,0,2,0,2,11
,"Rate Per 100,000",,0,0,0,0,0,378,0,378,0
,Number of Clearances,,0,0,0,0,0,2,0,2,0
,Percent Cleared,,0,0,0,0,0,200,0,200,0
,Number of Arrests,,0,0,0,0,0,2,0,2,0
NJ0031500,FLORENCE TWP PD,12748,,,,,,,,,
,Number of Offenses,,0,5,0,7,17,42,2,73,9
,"Rate Per 100,000",,0,39.2,0,54.9,133.4,329.4,15.6,572.6,0
,Number of Clearances,,0,2,1,6,9,14,0,32,0
,Percent Cleared,,0,150,0,250,203,143,0,180,0
,Number of Arrests,,0,2,2,6,7,8,0,25,0
NJ0031800,LUMBERTON TWP PD,12253,,,,,,,,,
,Number of Offenses,,0,2,3,12,10,147,10,184,11
,"Rate Per 100,000",,0,16.4,24.5,97.9,81.6,1199.8,81.6,1501.6,0
,Number of Clearances,,0,0,0,7,1,23,2,33,0
,Percent Cleared,,0,0,0,258,20,62,83,73,0
,Number of Arrests,,0,0,0,12,3,31,2,48,0
