,,,,,,,,,,PAGE: 4,
<< Back to Document Map,,,,,,,,,,,
,,,,,,,,,,,
ORINumber,Agency,Population,Murder,Rape,Robbery,Assault,Burglary,Larceny,Auto Theft,Total,Months
,,,,,,,,,,,
NJ0040200,AUDUBON PARK PD,997,,,,,,,,,
,Number of Offenses,,0,0,0,1,0,5,0,6,12
,"Rate Per 100,000",,0,0,0,100.3,0,501.5,0,601.8,0
,Number of Clearances,,0,0,0,1,0,0,0,1,0
,Percent Cleared,,0,0,0,100,0,0,0,50,0
,Number of Arrests,,0,0,0,1,0,0,0,1,0
NJ0040100,AUDUBON PD,8599,,,,,,,,,
,Number of Offenses,,0,0,2,2,17,241,5,267,11
,"Rate Per 100,000",,0,0,23.2,23.2,197.7,2802.6,58.1,3105,0
,Number of Clearances,,0,0,2,2,15,235,5,259,0
,Percent Cleared,,0,0,200,200,360,392,400,390,0
,Number of Arrests,,0,0,2,5,2,80,1,90,0
NJ0040300,BARRINGTON PD,6661,,,,,,,,,
,Number of Offenses,,0,1,1,1,7,47,4,61,11
,"Rate Per 100,000",,0,15,15,15,105.1,705.5,60,915.8,0
,Number of Clearances,,0,1,1,1,2,3,0,8,0
,Percent Cleared,,0,100,100,100,75,27,0,55,0
,Number of Arrests,,0,1,2,2,2,3,0,10,0
NJ0040400,BELLMAWR PD,11312,,,,,,,,,
,Number of Offenses,,0,0,2,11,28,97,8,146,12
,"Rate Per 100,000",,0,0,17.6,97.2,247.6,857.4,70.6,1290.7,0
,Number of Clearances,,0,0,1,12,3,19,2,37,0
,Percent Cleared,,0,0,100,407,63,76,200,105,0
,Number of Arrests,,0,0,1,24,2,23,2,52,0
NJ0040500,BERLIN BORO PD,7495,,,,,,,,,
,Number of Offenses,,0,0,2,8,21,100,5,136,12
,"Rate Per 100,000",,0,0,26.7,106.7,280.3,1334.2,66.7,1814.6,0
,Number of Clearances,,0,2,2,8,8,26,0,46,0
,Percent Cleared,,0,0,100,300,126,103,0,133,0
,Number of Arrests,,0,2,2,7,10,27,0,48,0
NJ0040600,BERLIN TWP PD,5532,,,,,,,,,
,Number of Offenses,,0,0,3,0,11,97,3,114,11
,"Rate Per 100,000",,0,0,54.3,0,198.9,1753.5,54.3,2060.8,0
,Number of Clearances,,0,0,2,0,6,45,0,53,0
,Percent Cleared,,0,0,150,0,258,184,0,187,0
,Number of Arrests,,0,0,3,1,10,47,0,61,0
NJ0040700,BROOKLAWN PD,1904,,,,,,,,,
,Number of Offenses,,0,1,5,10,13,134,2,165,12
,"Rate Per 100,000",,0,52.5,262.5,525.2,682.7,7037.9,105,8665.9,0
,Number of Clearances,,0,1,4,8,7,59,1,80,0
,Percent Cleared,,0,100,400,342,127,178,100,197,0
,Number of Arrests,,0,0,2,11,5,38,0,56,0
NJ0048900,CAMDEN CO PROSECUTOR'S OFFICE,0,,,,,,,,,
