,,,,,,,,,,PAGE: 5,
<< Back to Document Map,,,,,,,,,,,
,,,,,,,,,,,
ORINumber,Agency,Population,Murder,Rape,Robbery,Assault,Burglary,Larceny,Auto Theft,Total,Months
,,,,,,,,,,,
NJ0050100,AVALON BORO PD,1258,,,,,,,,,
,Number of Offenses,,0,0,0,5,12,145,0,162,12
,"Rate Per 100,000",,0,0,0,397.5,953.9,11526.3,0,12877.6,0
,Number of Clearances,,0,0,0,4,1,0,0,5,0
,Percent Cleared,,0,0,0,100,9,0,0,4,0
,Number of Arrests,,0,0,0,2,3,1,0,6,0
NJ0050200,CAPE MAY CITY PD,3463,,,,,,,,,
,Number of Offenses,,0,1,0,3,3,86,5,98,12
,"Rate Per 100,000",,0,28.9,0,86.7,86.7,2483.4,144.5,2830,0
,Number of Clearances,,0,1,0,3,1,10,2,17,0
,Percent Cleared,,0,100,0,200,100,69,200,110,0
,Number of Arrests,,0,0,0,6,0,12,2,20,0
NJ0058900,CAPE MAY CO PROSECUTOR'S OFFICE,0,,,,,,,,,
,Number of Offenses,,0,0,0,0,0,0,0,0,12
,"Rate Per 100,000",,0,0,0,0,0,0,0,0,0
,Number of Clearances,,0,0,0,0,0,0,0,0,0
,Percent Cleared,,0,0,0,0,0,0,0,0,0
,Number of Arrests,,0,0,0,0,0,0,0,0,0
NJ0050000,CAPE MAY CO SHERIFF'S OFFICE,0,,,,,,,,,
,Number of Offenses,,0,0,0,0,0,1,0,1,12
,"Rate Per 100,000",,0,0,0,0,0,0,0,0,0
,Number of Clearances,,0,0,0,0,0,1,0,1,0
,Percent Cleared,,0,0,0,0,0,100,0,100,0
,Number of Arrests,,0,0,0,1,0,1,0,2,0
NJ0050300,CAPE MAY POINT BORO PD,277,,,,,,,,,
,Number of Offenses,,0,0,0,0,3,1,0,4,12
,"Rate Per 100,000",,0,0,0,0,1083,361,0,1444,0
,Number of Clearances,,0,0,0,0,0,0,0,0,0
,Percent Cleared,,0,0,0,0,0,0,0,0,0
,Number of Arrests,,0,0,0,0,0,0,0,0,0
NJ0050500,LOWER TWP PD,21617,,,,,,,,,
,Number of Offenses,,0,10,2,29,30,113,6,190,12
,"Rate Per 100,000",,0,46.2,9.2,134.1,138.8,522.7,27.8,878.8,0
,Number of Clearances,,0,8,2,28,10,13,3,64,0
,Percent Cleared,,0,425,200,391,127,44,133,134,0
,Number of Arrests,,0,7,5,33,10,15,2,72,0
NJ0050600,MIDDLE TWSP PD,18358,,,,,,,,,
,Number of Offenses,,0,6,7,21,54,232,17,337,12
,"Rate Per 100,000",,0,32.5,38.1,114.4,294.1,1263.7,92.5,1835.8,0
,Number of Clearances,,0,3,2,18,15,71,4,113,0
,Percent Cleared,,0,167,70,350,104,127,98,138,0
,Number of Arrests,,0,3,1,21,24,80,3,132,0
NJ0050700,NORTH WILDWOOD CITY PD,3816,,,,,,,,,
,Number of Offenses,,0,1,1,4,12,131,1,150,12
,"Rate Per 100,000",,0,26.2,26.2,104.8,314.4,3432.9,26.2,3930.9,0
,Number of Clearances,,0,0,0,4,6,31,0,41,0
,Percent Cleared,,0,0,0,267,199,85,0,107,0
,Number of Arrests,,0,0,0,6,8,30,0,44,0
NJ0050800,OCEAN CITY PD,11138,,,,,,,,,
,Number of Offenses,,0,0,2,4,37,285,1,329,12
,"Rate Per 100,000",,0,0,18,36,332.2,2558.7,9,2953.9,0
,Number of Clearances,,0,1,1,4,3,76,1,86,0
,Percent Cleared,,0,0,50,300,29,92,100,99,0
,Number of Arrests,,0,1,2,4,7,24,0,38,0
NJ0050900,SEA ISLE CITY PD,2061,,,,,,,,,
,Number of Offenses,,0,0,0,0,16,73,0,89,12
,"Rate Per 100,000",,0,0,0,0,776.3,3541.9,0,4318.2,0
,Number of Clearances,,0,0,0,0,0,0,0,0,0
,Percent Cleared,,0,0,0,0,0,0,0,0,0
,Number of Arrests,,0,0,0,7,0,1,0,8,0
NJ0051000,STONE HARBOR BORO PD,816,,,,,,,,,
,Number of Offenses,,0,0,0,0,14,82,1,97,11
,"Rate Per 100,000",,0,0,0,0,1715.6,10048.9,122.5,11887.2,0
,Number of Clearances,,0,0,0,0,3,21,1,25,0
,Percent Cleared,,0,0,0,0,38,146,0,85,0
,Number of Arrests,,0,0,0,1,7,17,0,25,0
NJ0051200,WEST CAPE MAY BORO PD,1015,,,,,,,,,
,Number of Offenses,,0,1,0,0,4,7,0,12,12
,"Rate Per 100,000",,0,98.5,0,0,394.1,689.7,0,1182.3,0
,Number of Clearances,,0,0,0,0,2,0,0,2,0
,Percent Cleared,,0,0,0,0,50,0,0,25,0
,Number of Arrests,,0,0,0,0,1,0,0,1,0
NJ0051300,WEST WILDWOOD BORO PD,561,,,,,,,,,
,Number of Offenses,,0,0,0,2,2,7,0,11,12
,"Rate Per 100,000",,0,0,0,356.6,356.5,1247.8,0,1960.8,0
,Number of Clearances,,0,0,0,2,0,1,0,3,0
,Percent Cleared,,0,0,0,200,0,20,0,58,0
,Number of Arrests,,0,0,0,1,1,0,0,2,0
NJ0051500,WILDWOOD CREST BORO PD,3116,,,,,,,,,
,Number of Offenses,,0,2,0,15,19,44,0,80,12
,"Rate Per 100,000",,0,64.2,0,481.4,609.8,1412.1,0,2567.3,0
,Number of Clearances,,0,1,0,13,3,9,0,26,0
,Percent Cleared,,0,0,0,371,142,126,0,165,0
,Number of Arrests,,0,1,0,15,3,10,0,29,0
NJ0051400,WILDWOOD PD,5035,,,,,,,,,
,Number of Offenses,,0,0,8,21,47,267,4,347,12
,"Rate Per 100,000",,0,0,158.8,417.1,933.4,5302.8,79.5,6891.8,0
,Number of Clearances,,0,0,2,14,8,43,1,68,0
,Percent Cleared,,0,0,50,297,67,52,100,74,0
,Number of Arrests,,0,0,5,17,14,53,2,91,0
,County Totals - Cape May County,,,,,,,,,,
,Population,72531,,,,,,,,,
,Number of Offenses,,0,21,20,104,253,1478,38,1914,0
,"Rate Per 100,000",,0,27.6,26.7,137.1,336.5,1978,49,2554.5,0
,Number of Clearances,,0,14,7,90,52,279,14,456,0
,Percent Cleared,,0,278,156,349,91,86,139,108,0
,Number of Arrests,,0,12,13,115,78,244,9,471,0
