,,,,,,,,,,PAGE: 7,
<< Back to Document Map,,,,,,,,,,,
,,,,,,,,,,,
ORINumber,Agency,Population,Murder,Rape,Robbery,Assault,Burglary,Larceny,Auto Theft,Total,Months
,,,,,,,,,,,
NJ0070100,BELLEVILLE PD,36075,,,,,,,,,
,Number of Offenses,,1,9,24,44,70,351,87,586,12
,"Rate Per 100,000",,2.8,24.9,66.4,121.9,194,972.9,241.2,1624.5,0
,Number of Clearances,,1,0,10,27,13,49,7,107,0
,Percent Cleared,,100,0,183,227,80,60,34,77,0
,Number of Arrests,,0,0,5,33,26,34,3,101,0
NJ0070200,BLOOMFIELD PD,50777,,,,,,,,,
,Number of Offenses,,0,0,11,21,58,447,61,598,12
,"Rate Per 100,000",,0,0,21.6,41.4,114.2,880.3,120.2,1177.7,0
,Number of Clearances,,0,0,7,0,10,125,1,143,0
,Percent Cleared,,0,0,277,0,63,110,6,95,0
,Number of Arrests,,0,0,13,20,31,244,2,310,0
NJ0070300,CALDWELL PD,7999,,,,,,,,,
,Number of Offenses,,0,1,0,6,15,41,1,64,12
,"Rate Per 100,000",,0,12.5,0,75,187.5,512.5,12.5,800,0
,Number of Clearances,,0,0,0,1,3,5,0,9,0
,Percent Cleared,,0,0,0,100,125,48,0,59,0
,Number of Arrests,,0,0,0,6,8,5,0,19,0
NJ0070500,CEDAR GROVE PD,12566,,,,,,,,,
,Number of Offenses,,0,0,1,5,4,50,2,62,12
,"Rate Per 100,000",,0,0,8,39.9,31.8,397.9,16,493.3,0
,Number of Clearances,,0,0,0,5,1,9,0,15,0
,Percent Cleared,,0,0,0,400,50,72,0,111,0
,Number of Arrests,,0,0,0,4,0,4,0,8,0
NJ0070600,EAST ORANGE PD,64625,,,,,,,,,
,Number of Offenses,,3,26,102,144,151,581,162,1169,12
,"Rate Per 100,000",,4.6,40.3,157.9,222.9,233.6,899,250.6,1808.9,0
,Number of Clearances,,0,0,60,111,20,110,3,304,0
,Percent Cleared,,0,0,228,308,55,75,8,104,0
,Number of Arrests,,0,0,60,113,21,114,3,311,0
NJ0078900,ESSEX CO PROSECUTOR'S OFFICE,0,,,,,,,,,
,Number of Offenses,,0,0,0,0,0,0,0,0,12
,"Rate Per 100,000",,0,0,0,0,0,0,0,0,0
,Number of Clearances,,0,0,0,0,0,0,0,0,0
,Percent Cleared,,0,0,0,0,0,0,0,0,0
