CURRENT DATE: 10/18/2019,INDEX CRIMES BY COUNTY FOR JUL - 2019 TO SEP - 2019,,,,,,,,,PAGE: 8,
<< Back to Document Map,,,,,,,,,,,
,,,,,,,,,,,
ORINumber,Agency,Population,Murder,Rape,Robbery,Assault,Burglary,Larceny,Auto Theft,Total,Months
,,,,,,,,,,,
NJ0080100,CLAYTON PD,8624,,,,,,,,,
,Number of Offenses,,0,1,1,10,15,57,4,88,10
,"Rate Per 100,000",,0,11.6,11.6,116,174,660.9,46.4,1020.5,0
,Number of Clearances,,0,1,1,11,11,39,3,66,0
,Percent Cleared,,0,100,100,325,234,242,200,261,0
,Number of Arrests,,0,1,1,7,6,13,0,28,0
NJ0080200,DEPTFORD TWP PD,30137,,,,,,,,,
,Number of Offenses,,0,4,18,18,122,1024,28,1214,12
,"Rate Per 100,000",,0,13.2,59.7,59.7,404.8,3397.8,92.9,4028.2,0
,Number of Clearances,,0,1,5,8,11,119,0,144,0
,Percent Cleared,,0,100,84,225,36,45,0,46,0
,Number of Arrests,,0,2,5,9,16,109,0,141,0
NJ0080300,EAST GREENWICH TWP PD,10504,,,,,,,,,
,Number of Offenses,,0,0,0,0,14,62,2,78,10
,"Rate Per 100,000",,0,0,0,0,133.3,590.2,19,742.5,0
,Number of Clearances,,0,0,0,0,2,2,0,4,0
,Percent Cleared,,0,0,0,0,45,10,0,16,0
,Number of Arrests,,0,0,0,2,6,10,0,18,0
NJ0080400,ELK TWP PD,4116,,,,,,,,,
,Number of Offenses,,0,0,0,0,8,25,6,39,12
,"Rate Per 100,000",,0,0,0,0,194.4,607.5,145.8,947.6,0
,Number of Clearances,,0,0,0,0,0,0,3,3,0
,Percent Cleared,,0,0,0,0,0,0,183,37,0
,Number of Arrests,,0,0,0,0,0,0,0,0,0
NJ0080500,FRANKLIN TWP PD,16225,,,,,,,,,
,Number of Offenses,,0,1,2,12,32,123,14,184,12
,"Rate Per 100,000",,0,6.2,12.4,74,197.3,758,86.4,1134.1,0
,Number of Clearances,,0,0,0,11,1,20,2,34,0
,Percent Cleared,,0,0,0,350,11,67,50,73,0
