CURRENT DATE: 10/18/2019,INDEX CRIMES BY COUNTY FOR JUL - 2019 TO SEP - 2019,,,,,,,,,PAGE: 10,
<< Back to Document Map,,,,,,,,,,,
,,,,,,,,,,,
ORINumber,Agency,Population,Murder,Rape,Robbery,Assault,Burglary,Larceny,Auto Theft,Total,Months
,,,,,,,,,,,
NJ0100400,CALIFON BOROUGH,1068,,,,,,,,,
,Number of Offenses,,0,0,0,0,1,1,1,3,12
,"Rate Per 100,000",,0,0,0,0,93.6,93.6,93.6,280.8,0
,Number of Clearances,,0,0,0,0,0,0,0,0,0
,Percent Cleared,,0,0,0,0,0,0,0,0,0
,Number of Arrests,,0,0,0,0,0,0,0,0,0
NJ0100500,CLINTON TOWN PD,2699,,,,,,,,,
,Number of Offenses,,0,1,0,3,1,10,0,15,11
,"Rate Per 100,000",,0,37.1,0,111.2,37.1,370.6,0,555.9,0
,Number of Clearances,,0,1,0,3,0,3,0,7,0
,Percent Cleared,,0,100,0,200,0,125,0,130,0
,Number of Arrests,,0,0,0,2,0,3,0,5,0
NJ0100600,CLINTON TWP PD,12824,,,,,,,,,
,Number of Offenses,,0,0,0,2,12,18,3,35,12
,"Rate Per 100,000",,0,0,0,15.6,93.6,140.4,23.4,273,0
,Number of Clearances,,0,0,0,2,6,7,0,15,0
,Percent Cleared,,0,0,0,100,250,134,0,172,0
,Number of Arrests,,0,0,0,3,2,2,0,7,0
NJ0100700,DELAWARE TWP PD,4461,,,,,,,,,
,Number of Offenses,,0,0,0,0,0,6,1,7,12
,"Rate Per 100,000",,0,0,0,0,0,134.4,22.4,156.8,0
,Number of Clearances,,0,0,0,0,1,0,1,2,0
,Percent Cleared,,0,0,0,0,0,0,100,133,0
,Number of Arrests,,0,0,0,0,0,0,0,0,0
NJ0100900,FLEMINGTON PD,4627,,,,,,,,,
,Number of Offenses,,0,1,0,7,7,42,2,59,11
,"Rate Per 100,000",,0,21.6,0,151.2,151.2,907.7,43.2,1275.1,0
,Number of Clearances,,0,1,0,5,1,6,2,15,0
,Percent Cleared,,0,100,0,275,50,59,200,102,0
,Number of Arrests,,0,1,0,5,1,9,4,20,0
NJ0101000,FRANKLIN TWP PD,3238,,,,,,,,,
,Number of Offenses,,0,0,0,0,1,7,0,8,12
,"Rate Per 100,000",,0,0,0,0,30.9,216.1,0,247,0
,Number of Clearances,,0,0,0,0,0,2,0,2,0
,Percent Cleared,,0,0,0,0,0,67,0,67,0
,Number of Arrests,,0,0,0,0,0,5,0,5,0
NJ0101100,FRENCHTOWN BORO PD,1363,,,,,,,,,
,Number of Offenses,,0,0,0,0,0,3,0,3,11
,"Rate Per 100,000",,0,0,0,0,0,220.1,0,220.1,0
,Number of Clearances,,0,0,0,0,0,2,0,2,0
,Percent Cleared,,0,0,0,0,0,100,0,100,0
,Number of Arrests,,0,0,0,0,0,0,0,0,0
NJ0101400,HIGH BRIDGE BORO PD,3528,,,,,,,,,
,Number of Offenses,,0,0,0,1,3,21,1,26,12
,"Rate Per 100,000",,0,0,0,28.3,85,595.3,28.3,737.1,0
,Number of Clearances,,0,0,0,0,0,1,0,1,0
,Percent Cleared,,0,0,0,0,0,13,0,13,0
,Number of Arrests,,0,0,0,0,0,1,0,1,0
NJ0101500,HOLLAND TWP PD,5128,,,,,,,,,
,Number of Offenses,,0,1,0,1,4,4,1,11,12
,"Rate Per 100,000",,0,19.5,0,19.5,78,78,19.5,214.5,0
,Number of Clearances,,0,0,0,1,0,0,1,2,0
,Percent Cleared,,0,0,0,100,0,0,100,58,0
,Number of Arrests,,0,0,0,1,0,0,1,2,0
NJ0108900,HUNTERDON CO PROSECUTOR' OFFICE,0,,,,,,,,,
,Number of Offenses,,0,0,0,0,0,0,0,0,12
,"Rate Per 100,000",,0,0,0,0,0,0,0,0,0
,Number of Clearances,,0,0,0,0,0,0,0,0,0
,Percent Cleared,,0,0,0,0,0,0,0,0,0
,Number of Arrests,,0,0,0,0,0,0,0,0,0
NJ0101700,LAMBERTVILLE CITY PD,3811,,,,,,,,,
,Number of Offenses,,0,1,0,0,2,12,0,15,12
,"Rate Per 100,000",,0,26.2,0,0,52.4,314.9,0,393.5,0
,Number of Clearances,,0,0,0,0,1,4,0,5,0
,Percent Cleared,,0,0,0,0,100,125,0,100,0
,Number of Arrests,,0,0,0,0,0,3,0,3,0
NJ0101900,LEBANON TWP PD,6070,,,,,,,,,
,Number of Offenses,,0,0,0,0,3,21,1,25,12
,"Rate Per 100,000",,0,0,0,0,49.4,463.1,16.5,529,0
,Number of Clearances,,0,0,0,0,2,3,1,6,0
