,,,,,,,,,,PAGE: 13,
<< Back to Document Map,,,,,,,,,,,
,,,,,,,,,,,
ORINumber,Agency,Population,Murder,Rape,Robbery,Assault,Burglary,Larceny,Auto Theft,Total,Months
,,,,,,,,,,,
NJ0133000,ABERDEEN TWP PD,18378,,,,,,,,,
NJ0133000,ABERDEEN TWP PD,18378,,,,,,,,,
,Number of Offenses,,0,1,2,6,0,45,4,58,3
,Number of Offenses,,0,1,2,6,0,45,4,58,3
,"Rate Per 100,000",,0,5.4,10.9,32.6,0,244.9,21.8,315.6,
,"Rate Per 100,000",,0,5.4,10.9,32.6,0,244.9,21.8,315.6,
,"Rate Per 100,000",,0,5.4,10.9,32.6,0,244.9,21.8,315.6,
,"Rate Per 100,000",,0,5.4,10.9,32.6,0,244.9,21.8,315.6,
,Number of Clearances,,0,1,1,4,1,11,0,18,
,Number of Clearances,,0,1,1,4,1,11,0,18,
,Percent Cleared,,0,100,50,67,0,24,0,31,
,Percent Cleared,,0,100,50,67,0,24,0,31,
,Number of Arrests,,0,1,0,4,0,7,0,12,
,Number of Arrests,,0,1,0,4,0,7,0,12,
NJ0130100,ALLENHURST PD,488,,,,,,,,,
,Number of Offenses,,0,0,0,0,0,3,0,3,2
,"Rate Per 100,000",,0,0,0,0,0,614.8,0,614.8,
,Number of Clearances,,0,0,0,0,0,0,0,0,
,Percent Cleared,,0,0,0,0,0,0,0,0,
,Number of Arrests,,0,0,0,0,0,0,0,0,
NJ0130200,ALLENTOWN BORO PD,1809,,,,,,,,,
,Number of Offenses,,0,0,0,0,1,1,0,2,3
,"Rate Per 100,000",,0,0,0,0,55.3,55.3,0,110.6,
,Number of Clearances,,0,0,0,0,0,0,0,0,
,Percent Cleared,,0,0,0,0,0,0,0,0,
,Number of Arrests,,0,0,0,0,0,0,0,0,
NJ0130300,ASBURY PARK PD,15717,,,,,,,,,
,Number of Offenses,,1,2,13,45,14,169,3,247,3
,"Rate Per 100,000",,6.4,12.7,82.7,286.3,89.1,"1,075.3",19.1,"1,571.5",
,Number of Clearances,,1,0,3,31,0,20,1,56,
,Percent Cleared,,100,0,23,69,0,12,33,23,
,Number of Arrests,,3,0,3,33,0,19,1,59,
NJ0130500,ATLANTIC HIGHLANDS PD,4302,,,,,,,,,
,Number of Offenses,,0,0,0,0,0,10,0,10,2
,"Rate Per 100,000",,0,0,0,0,0,232.5,0,232.5,
,Number of Clearances,,0,0,0,0,0,3,0,3,
,Percent Cleared,,0,0,0,0,0,30,0,30,
,Number of Arrests,,0,0,0,0,0,4,0,4,
NJ0130600,AVON-BY-THE-SEA PD,1780,,,,,,,,,
,Number of Offenses,,0,0,0,0,0,21,0,21,3
,"Rate Per 100,000",,0,0,0,0,0,"1,179.8",0,"1,179.8",
,Number of Clearances,,0,0,0,0,0,2,0,2,
,Percent Cleared,,0,0,0,0,0,10,0,10,
,Number of Arrests,,0,0,0,0,0,0,0,0,
NJ0130700,BELMAR PD,5666,,,,,,,,,
,Number of Offenses,,0,0,0,3,2,32,1,38,3
,"Rate Per 100,000",,0,0,0,52.9,35.3,564.8,17.6,670.7,
,Number of Clearances,,0,0,0,1,1,0,0,2,
,Percent Cleared,,0,0,0,33,50,0,0,5,
,Number of Arrests,,0,0,0,1,0,5,0,6,
NJ0130800,BRADLEY BEACH PD,4214,,,,,,,,,
,Number of Offenses,,0,0,0,1,0,27,1,29,3
,"Rate Per 100,000",,0,0,0,23.7,0,640.7,23.7,688.2,
