,,,,,,,,,,PAGE: 14,
<< Back to Document Map,,,,,,,,,,,
,,,,,,,,,,,
ORINumber,Agency,Population,Murder,Rape,Robbery,Assault,Burglary,Larceny,Auto Theft,Total,Months
,,,,,,,,,,,
NJ0140100,BOONTON PD,8236,,,,,,,,,
,Number of Offenses,,0,1,2,8,8,62,4,85,11
,"Rate Per 100,000",,0,12.1,24.3,97.1,97.2,752.8,48.5,1032,0
,Number of Clearances,,0,0,1,7,3,25,1,37,0
,Percent Cleared,,0,0,50,280,75,184,50,196,0
,Number of Arrests,,0,1,1,6,6,23,1,38,0
NJ0140200,BOONTON TWP PD,4299,,,,,,,,,
,Number of Offenses,,0,1,0,1,4,12,2,20,12
,"Rate Per 100,000",,0,23.3,0,23.3,93,279.1,46.5,465.3,0
,Number of Clearances,,0,0,0,1,0,0,1,2,0
,Percent Cleared,,0,0,0,100,0,0,50,46,0
,Number of Arrests,,0,0,0,1,0,0,1,2,0
NJ0140300,BUTLER BORO PD,7679,,,,,,,,,
,Number of Offenses,,0,0,0,1,3,22,1,27,12
,"Rate Per 100,000",,0,0,0,13,39,286.5,13,351.6,0
,Number of Clearances,,0,0,0,1,0,4,0,5,0
,Percent Cleared,,0,0,0,100,0,72,0,80,0
,Number of Arrests,,0,0,0,2,0,7,0,9,0
NJ0140400,CHATHAM BORO PD,8793,,,,,,,,,
,Number of Offenses,,0,0,0,0,5,52,6,63,12
,"Rate Per 100,000",,0,0,0,0,56.9,591.3,68.2,716.5,0
,Number of Clearances,,0,0,0,0,0,1,0,1,0
,Percent Cleared,,0,0,0,0,0,17,0,10,0
,Number of Arrests,,0,0,0,1,0,2,0,3,0
NJ0140500,CHATHAM TWP PD,10288,,,,,,,,,
,Number of Offenses,,0,0,0,0,1,21,3,25,12
,"Rate Per 100,000",,0,0,0,0,9.7,204.1,29.1,243,0
,Number of Clearances,,0,0,0,0,0,0,0,0,0
,Percent Cleared,,0,0,0,0,0,0,0,0,0
