,,,,,,,,,,PAGE: 15,
<< Back to Document Map,,,,,,,,,,,
,,,,,,,,,,,
ORINumber,Agency,Population,Murder,Rape,Robbery,Assault,Burglary,Larceny,Auto Theft,Total,Months
,,,,,,,,,,,
NJ0150100,BARNEGAT LIGHT BORO,580,,,,,,,,,
,Number of Offenses,,0,0,0,0,1,5,0,6,11
,"Rate Per 100,000",,0,0,0,0,172.4,862.1,0,1034.5,0
,Number of Clearances,,0,0,0,0,0,0,0,0,0
,Percent Cleared,,0,0,0,0,0,0,0,0,0
,Number of Arrests,,0,0,0,0,0,0,0,0,0
NJ0153300,BARNEGAT TWP PD,22777,,,,,,,,,
,Number of Offenses,,0,0,4,8,13,108,3,136,12
,"Rate Per 100,000",,0,0,17.6,35.2,57.2,474.2,13.2,597,0
,Number of Clearances,,0,0,3,7,1,38,2,51,0
,Percent Cleared,,0,0,250,300,33,146,150,155,0
,Number of Arrests,,0,0,2,11,4,28,2,47,0
NJ0150200,BAYHEAD BORO PD,971,,,,,,,,,
,Number of Offenses,,0,0,0,0,3,12,0,15,12
,"Rate Per 100,000",,0,0,0,0,309,1235.9,0,1544.9,0
,Number of Clearances,,0,0,0,0,1,1,0,2,0
,Percent Cleared,,0,0,0,0,0,100,0,44,0
,Number of Arrests,,0,0,0,0,2,0,0,2,0
NJ0150300,BEACH HAVEN PD,1169,,,,,,,,,
,Number of Offenses,,0,0,0,0,5,136,0,141,12
,"Rate Per 100,000",,0,0,0,0,427.7,11633.8,0,12061.6,0
,Number of Clearances,,0,0,0,0,2,9,0,11,0
,Percent Cleared,,0,0,0,0,150,9,0,42,0
,Number of Arrests,,0,0,0,1,3,10,0,14,0
NJ0150400,BEACHWOOD BORO PD,11146,,,,,,,,,
,Number of Offenses,,0,3,0,2,14,65,0,84,12
,"Rate Per 100,000",,0,26.9,0,18,125.6,583.2,0,753.7,0
,Number of Clearances,,0,6,0,2,1,12,0,21,0
,Percent Cleared,,0,100,0,200,25,73,0,102,0
,Number of Arrests,,0,3,0,3,1,8,0,15,0
NJ0150500,BERKELEY TWP PD,41331,,,,,,,,,
,Number of Offenses,,0,9,6,21,59,274,6,375,11
,"Rate Per 100,000",,0,21.7,14.5,50.8,142.8,663,14.4,907.4,0
