,,,,,,,,,,PAGE: 16,
<< Back to Document Map,,,,,,,,,,,
,,,,,,,,,,,
ORINumber,Agency,Population,Murder,Rape,Robbery,Assault,Burglary,Larceny,Auto Theft,Total,Months
,,,,,,,,,,,
NJ0160100,BLOOMINGDALE BORO PD,8211,,,,,,,,,
,Number of Offenses,,0,3,0,2,3,29,0,37,12
,"Rate Per 100,000",,0,36.6,0,24.4,36.6,353.3,0,450.6,0
,Number of Clearances,,0,3,0,1,1,5,0,10,0
,Percent Cleared,,0,200,0,100,100,84,0,117,0
,Number of Arrests,,0,3,0,1,4,9,1,18,0
NJ0160300,HALEDON PD,8363,,,,,,,,,
,Number of Offenses,,0,0,4,27,25,101,15,172,12
,"Rate Per 100,000",,0,0,47.9,322.8,298.9,1207.8,179.4,2056.7,0
,Number of Clearances,,0,0,2,11,4,30,1,48,0
,Percent Cleared,,0,0,100,215,71,117,17,110,0
,Number of Arrests,,0,0,3,13,7,37,0,60,0
NJ0160400,HAWTHORNE PD,18874,,,,,,,,,
,Number of Offenses,,0,0,0,0,9,116,14,139,12
,"Rate Per 100,000",,0,0,0,0,47.7,614.5,74.2,736.4,0
,Number of Clearances,,0,0,0,0,1,4,1,6,0
,Percent Cleared,,0,0,0,0,100,16,33,18,0
,Number of Arrests,,0,0,0,0,0,0,0,0,0
NJ0160500,LITTLE FALLS PD,14306,,,,,,,,,
,Number of Offenses,,0,0,0,20,12,70,7,109,12
,"Rate Per 100,000",,0,0,0,139.8,84,489.3,49,761.9,0
,Number of Clearances,,0,0,0,16,3,16,2,37,0
,Percent Cleared,,0,0,0,337,117,98,58,131,0
,Number of Arrests,,0,0,0,8,2,11,2,23,0
NJ0160600,NORTH HALEDON PD,8469,,,,,,,,,
,Number of Offenses,,0,1,0,2,5,35,5,48,11
,"Rate Per 100,000",,0,11.8,0,23.6,59,413.3,59,566.7,0
,Number of Clearances,,0,0,0,1,3,5,0,9,0
,Percent Cleared,,0,0,0,50,200,85,0,92,0
,Number of Arrests,,0,0,0,0,2,3,0,5,0
NJ0168900,PASSAIC CO PROSECUTOR'S OFFICE,0,,,,,,,,,
,Number of Offenses,,0,0,0,0,0,0,0,0,12
,"Rate Per 100,000",,0,0,0,0,0,0,0,0,0
,Number of Clearances,,0,0,0,0,0,0,0,0,0
,Percent Cleared,,0,0,0,0,0,0,0,0,0
,Number of Arrests,,0,0,0,0,0,0,0,0,0
NJ0160700,PASSAIC PD,70435,,,,,,,,,
,Number of Offenses,,1,6,166,196,133,923,159,1584,12
,"Rate Per 100,000",,1.4,8.5,235.7,278.2,188.8,1310.4,225.7,2249,0
,Number of Clearances,,0,1,12,66,9,51,0,139,0
,Percent Cleared,,0,25,32,133,27,22,0,37,0
,Number of Arrests,,0,2,10,72,11,65,0,160,0
NJ0160800,PATERSON PD,146893,,,,,,,,,
,Number of Offenses,,10,43,383,558,726,1538,330,3588,10
,"Rate Per 100,000",,6.8,29.3,260.7,379.9,494.3,1047,224.8,2442.6,0
,Number of Clearances,,12,3,48,237,48,116,2,466,0
,Percent Cleared,,440,26,50,169,27,30,2,53,0
,Number of Arrests,,19,1,63,319,91,62,10,565,0
NJ0181500,PEAPACK-GLADSTONE PD,2588,,,,,,,,,
,Number of Offenses,,0,0,0,0,11,5,5,21,12
,"Rate Per 100,000",,0,0,0,0,425.1,193.1,193.2,811.4,0
,Number of Clearances,,0,0,0,0,0,2,0,2,0
,Percent Cleared,,0,0,0,0,0,150,0,34,0
,Number of Arrests,,0,0,0,0,0,2,0,2,0
NJ0160900,POMPTON LAKES BORO PD,11062,,,,,,,,,
,Number of Offenses,,0,1,0,7,5,40,2,55,10
,"Rate Per 100,000",,0,9,0,63.2,45.2,361.6,18.1,497.2,0
,Number of Clearances,,0,0,0,4,0,4,0,8,0
,Percent Cleared,,0,0,0,200,0,38,0,46,0
,Number of Arrests,,0,0,0,4,0,4,0,8,0
NJ0161000,PROSPECT PARK BORO PD,5893,,,,,,,,,
,Number of Offenses,,0,2,1,2,12,62,9,88,12
,"Rate Per 100,000",,0,34,17,34,203.6,1052.1,152.6,1493.2,0
,Number of Clearances,,0,0,0,1,1,3,4,9,0
,Percent Cleared,,0,0,0,100,17,19,167,45,0
,Number of Arrests,,0,0,4,1,1,2,0,8,0
NJ0161100,RINGWOOD BORO PD,12303,,,,,,,,,
,Number of Offenses,,0,1,0,4,6,34,2,47,12
,"Rate Per 100,000",,0,8.1,0,32.5,48.8,276.3,16.2,382,0
,Number of Clearances,,0,1,0,4,1,2,1,9,0
,Percent Cleared,,0,100,0,300,50,27,100,81,0
,Number of Arrests,,0,1,0,3,0,2,2,8,0
NJ0161200,TOTOWA BORO  PD,10666,,,,,,,,,
,Number of Offenses,,0,1,2,12,16,134,16,181,12
,"Rate Per 100,000",,0,9.4,18.8,112.5,150.1,1256.4,150,1697,0
,Number of Clearances,,0,0,2,12,3,36,1,54,0
,Percent Cleared,,0,0,200,305,62,110,33,122,0
,Number of Arrests,,0,0,3,9,6,22,1,41,0
NJ0161300,WANAQUE BORO PD,11960,,,,,,,,,
,Number of Offenses,,0,1,0,3,2,27,5,38,12
,"Rate Per 100,000",,0,8.4,0,25.1,16.8,225.8,41.8,317.8,0
,Number of Clearances,,0,0,0,0,1,2,1,4,0
,Percent Cleared,,0,0,0,0,100,40,25,54,0
,Number of Arrests,,0,0,0,1,1,4,1,7,0
NJ0161400,WAYNE PD,54340,,,,,,,,,
,Number of Offenses,,0,0,8,22,78,777,39,924,12
,"Rate Per 100,000",,0,0,14.7,40.4,143.6,1430,71.7,1700.4,0
,Number of Clearances,,0,0,7,16,21,231,3,278,0
,Percent Cleared,,0,0,350,294,120,118,31,121,0
,Number of Arrests,,0,0,8,11,31,283,0,333,0
NJ0161500,WEST MILFORD PD,26560,,,,,,,,,
,Number of Offenses,,0,2,1,10,18,104,5,140,12
,"Rate Per 100,000",,0,7.6,3.8,37.7,67.7,391.5,18.9,527.1,0
,Number of Clearances,,0,1,1,7,1,9,3,22,0
,Percent Cleared,,0,100,100,300,13,39,250,69,0
,Number of Arrests,,0,1,1,6,1,6,3,18,0
NJ0161700,WILLIAM PATERSON UNIVERSITY PD,0,,,,,,,,,
,Number of Offenses,,0,4,0,1,10,41,0,56,11
,"Rate Per 100,000",,0,0,0,0,0,0,0,0,0
,Number of Clearances,,0,1,0,1,0,12,0,14,0
,Percent Cleared,,0,100,0,100,0,87,0,75,0
,Number of Arrests,,0,0,0,1,0,1,0,2,0
NJ0161600,WOODLAND PARK BORO PD,12799,,,,,,,,,
,Number of Offenses,,1,1,0,11,13,121,12,159,11
,"Rate Per 100,000",,7.8,7.8,0,85.9,101.6,945.4,93.8,1242.3,0
,Number of Clearances,,1,0,0,8,0,12,1,22,0
,Percent Cleared,,100,0,0,219,0,39,25,54,0
,Number of Arrests,,1,0,0,6,4,11,2,24,0
,County Totals - Passaic County,,,,,,,,,,
,Population,423722,,,,,,,,,
,Number of Offenses,,12,66,584,894,1127,4609,664,7956,0
,"Rate Per 100,000",,2.6,13.9,124.9,192.2,241.9,982.8,140.7,1698.9,0
,Number of Clearances,,13,10,79,394,106,612,23,1237,0
,Percent Cleared,,417,64,54,180,40,56,17,64,0
,Number of Arrests,,21,8,100,478,184,627,24,1442,0
