,,,,,,,,,,PAGE: 19,
<< Back to Document Map,,,,,,,,,,,
,,,,,,,,,,,
ORINumber,Agency,Population,Murder,Rape,Robbery,Assault,Burglary,Larceny,Auto Theft,Total,Months
,,,,,,,,,,,
NJ0190200,ANDOVER TWP PD,5936,,,,,,,,,
,Number of Offenses,,0,0,0,0,3,13,1,17,12
,"Rate Per 100,000",,0,0,0,0,50.4,218.9,16.8,286.4,0
,Number of Clearances,,0,0,0,0,1,3,1,5,0
,Percent Cleared,,0,0,0,0,0,120,100,150,0
,Number of Arrests,,0,0,0,0,0,3,1,4,0
NJ0190400,BYRAM TWP PD,7925,,,,,,,,,
,Number of Offenses,,0,4,1,5,9,48,6,73,12
,"Rate Per 100,000",,0,50.4,12.6,63.1,113.5,605.7,75.7,921.2,0
,Number of Clearances,,0,1,1,5,2,26,1,36,0
,Percent Cleared,,0,100,100,200,75,210,50,199,0
,Number of Arrests,,0,1,1,4,5,29,0,40,0
NJ0190600,FRANKLIN BORO PD,4735,,,,,,,,,
,Number of Offenses,,0,1,1,8,3,44,1,58,12
,"Rate Per 100,000",,0,21.1,21.1,168.9,63.3,929.3,21.1,1225,0
,Number of Clearances,,0,0,1,5,1,9,0,16,0
,Percent Cleared,,0,0,100,175,100,88,0,115,0
,Number of Arrests,,0,0,1,3,0,11,0,15,0
NJ0190900,HAMBURG PD,3109,,,,,,,,,
,Number of Offenses,,0,0,0,0,4,13,0,17,12
,"Rate Per 100,000",,0,0,0,0,128.7,418.2,0,546.8,0
,Number of Clearances,,0,0,0,0,0,3,0,3,0
,Percent Cleared,,0,0,0,0,0,175,0,100,0
,Number of Arrests,,0,0,0,0,0,2,0,2,0
NJ0191100,HARDYSTON TWP POLICE DEPT,7823,,,,,,,,,
,Number of Offenses,,0,0,1,0,4,22,0,27,12
,"Rate Per 100,000",,0,0,12.8,0,51.2,281.2,0,345,0
,Number of Clearances,,0,0,1,0,0,3,0,4,0
,Percent Cleared,,0,0,100,0,0,42,0,52,0
,Number of Arrests,,0,0,1,0,0,2,0,3,0
NJ0191200,HOPATCONG PD,14183,,,,,,,,,
,Number of Offenses,,0,0,1,7,0,37,2,47,12
,"Rate Per 100,000",,0,0,7.1,49.5,0,261,14.2,331.4,0
,Number of Clearances,,0,0,1,27,0,10,0,38,0
,Percent Cleared,,0,0,100,2400,0,108,0,397,0
,Number of Arrests,,0,0,2,7,3,10,1,23,0
NJ0191500,NEWTON PD,7824,,,,,,,,,
,Number of Offenses,,0,4,0,10,8,55,0,77,12
,"Rate Per 100,000",,0,51.2,0,127.8,102.3,703,0,984.2,0
,Number of Clearances,,0,0,1,5,0,4,0,10,0
,Percent Cleared,,0,0,0,150,0,35,0,59,0
,Number of Arrests,,0,1,1,3,0,7,1,13,0
NJ0191600,OGDENSBURG PD,2262,,,,,,,,,
,Number of Offenses,,0,0,0,0,0,7,1,8,10
,"Rate Per 100,000",,0,0,0,0,0,309.4,44.2,353.6,0
,Number of Clearances,,0,0,0,0,0,0,0,0,0
,Percent Cleared,,0,0,0,0,0,0,0,0,0
,Number of Arrests,,0,0,0,0,0,0,0,0,0
NJ0191800,SPARTA PD,18694,,,,,,,,,
,Number of Offenses,,0,0,0,4,2,27,2,35,12
,"Rate Per 100,000",,0,0,0,21.3,10.6,144.4,10.7,187.1,0
,Number of Clearances,,0,0,0,4,0,16,0,20,0
,Percent Cleared,,0,0,0,233,0,238,0,252,0
,Number of Arrests,,0,0,0,1,2,4,1,8,0
NJ0191900,STANHOPE PD,3306,,,,,,,,,
,Number of Offenses,,0,1,0,0,4,17,2,24,10
,"Rate Per 100,000",,0,30.2,0,0,120.9,514.2,60.4,726,0
,Number of Clearances,,0,0,0,0,1,1,1,3,0
,Percent Cleared,,0,0,0,0,33,25,100,52,0
,Number of Arrests,,0,0,0,0,2,1,1,4,0
NJ0198900,SUSSEX CO PROSECUTOR'S OFFICE,0,,,,,,,,,
,Number of Offenses,,0,0,0,0,0,0,0,0,12
,"Rate Per 100,000",,0,0,0,0,0,0,0,0,0
,Number of Clearances,,0,0,0,0,0,0,0,0,0
,Percent Cleared,,0,0,0,0,0,0,0,0,0
,Number of Arrests,,0,0,0,0,0,0,0,0,0
NJ0190000,SUSSEX CO SHERIFF'S DEPT,0,,,,,,,,,
,Number of Offenses,,0,0,0,0,0,0,0,0,12
,"Rate Per 100,000",,0,0,0,0,0,0,0,0,0
,Number of Clearances,,0,0,0,0,0,0,0,0,0
,Percent Cleared,,0,0,0,0,0,0,0,0,0
,Number of Arrests,,0,0,0,0,0,0,0,0,0
NJ0192200,VERNON TWP PD,22057,,,,,,,,,
,Number of Offenses,,0,0,0,3,12,68,1,84,12
,"Rate Per 100,000",,0,0,0,13.5,54.5,308.4,4.5,380.9,0
,Number of Clearances,,0,0,0,3,0,9,0,12,0
,Percent Cleared,,0,0,0,300,0,61,0,64,0
,Number of Arrests,,0,0,0,4,1,12,1,18,0
,County Totals - Sussex County,,,,,,,,,,
,Population,97854,,,,,,,,,
,Number of Offenses,,0,11,4,37,58,358,16,484,0
,"Rate Per 100,000",,0,10.6,4,37,53.2,339.7,15.2,459.6,0
,Number of Clearances,,0,1,5,49,7,85,3,150,0
,Percent Cleared,,0,100,400,610,48,100,70,127,0
,Number of Arrests,,0,2,6,23,13,83,6,133,0
