,,,,,,,,,,PAGE: 20,
<< Back to Document Map,,,,,,,,,,,
,,,,,,,,,,,
ORINumber,Agency,Population,Murder,Rape,Robbery,Assault,Burglary,Larceny,Auto Theft,Total,Months
,,,,,,,,,,,
NJ0200100,BERKELEY HEIGHTS PD,13646,,,,,,,,,
,Number of Offenses,,0,3,1,0,12,36,10,62,12
,"Rate Per 100,000",,0,21.9,7.3,0,87.9,263.8,73.4,454.4,0
,Number of Clearances,,0,1,0,0,3,1,1,6,0
,Percent Cleared,,0,100,0,0,60,8,50,41,0
,Number of Arrests,,0,0,0,0,0,0,2,2,0
NJ0200200,CLARK PD,16079,,,,,,,,,
,Number of Offenses,,0,4,3,7,13,207,4,238,12
,"Rate Per 100,000",,0,24.9,18.6,43.6,80.9,1287.4,24.8,1480.2,0
,Number of Clearances,,0,1,2,2,2,87,0,94,0
,Percent Cleared,,0,0,200,67,50,170,0,158,0
,Number of Arrests,,0,0,4,3,3,96,0,106,0
NJ0200300,CRANFORD PD,24353,,,,,,,,,
,Number of Offenses,,0,0,1,3,11,175,16,206,12
,"Rate Per 100,000",,0,0,4.1,12.3,45.2,718.6,65.6,846,0
,Number of Clearances,,0,0,1,3,3,16,0,23,0
,Percent Cleared,,0,0,100,200,38,37,0,44,0
,Number of Arrests,,0,0,0,5,8,8,4,25,0
NJ0200400,ELIZABETH PD,129080,,,,,,,,,
,Number of Offenses,,7,50,384,485,365,2776,757,4824,12
,"Rate Per 100,000",,5.3,38.7,297.4,375.7,282.8,2150.7,586.5,3737.2,0
,Number of Clearances,,4,9,68,211,57,300,3,652,0
,Percent Cleared,,250,63,73,174,68,44,2,54,0
,Number of Arrests,,1,9,89,206,58,345,6,714,0
NJ0200500,FANWOOD PD,7768,,,,,,,,,
,Number of Offenses,,0,1,0,1,5,17,3,27,12
,"Rate Per 100,000",,0,12.9,0,12.9,64.4,218.9,38.7,347.5,0
,Number of Clearances,,0,1,0,1,0,2,1,5,0
,Percent Cleared,,0,100,0,100,0,34,100,62,0
,Number of Arrests,,0,0,0,1,0,2,0,3,0
NJ0200600,GARWOOD PD,4370,,,,,,,,,
,Number of Offenses,,0,0,0,1,5,30,0,36,12
,"Rate Per 100,000",,0,0,0,22.9,114.5,686.4,0,823.7,0
,Number of Clearances,,0,0,0,1,2,2,0,5,0
,Percent Cleared,,0,0,0,100,150,29,0,53,0
,Number of Arrests,,0,0,0,0,3,3,0,6,0
NJ0200700,HILLSIDE PD,22078,,,,,,,,,
,Number of Offenses,,0,5,26,33,51,398,84,597,12
,"Rate Per 100,000",,0,22.6,117.7,149.5,231,1802.8,380.4,2704.1,0
,Number of Clearances,,0,1,7,0,9,70,2,89,0
,Percent Cleared,,0,33,120,0,72,75,8,62,0
,Number of Arrests,,0,2,9,17,9,72,1,110,0
NJ0202400,KEAN UNIVERSITY PD,0,,,,,,,,,
,Number of Offenses,,0,1,1,1,0,74,2,79,12
,"Rate Per 100,000",,0,0,0,0,0,0,0,0,0
,Number of Clearances,,0,0,0,0,0,5,1,6,0
,Percent Cleared,,0,0,0,0,0,28,100,31,0
,Number of Arrests,,0,0,0,0,0,1,0,1,0
NJ0200800,KENILWORTH PD,8249,,,,,,,,,
,Number of Offenses,,0,4,2,4,8,86,15,119,12
,"Rate Per 100,000",,0,48.4,24.2,48.4,97,1042.5,181.8,1442.5,0
,Number of Clearances,,0,1,0,3,0,11,0,15,0
,Percent Cleared,,0,50,0,200,0,51,0,48,0
,Number of Arrests,,0,1,0,2,2,5,0,10,0
NJ0200900,LINDEN PD,42806,,,,,,,,,
,Number of Offenses,,0,21,44,94,110,1079,39,1387,12
,"Rate Per 100,000",,0,49.1,102.8,219.6,257.1,2520.7,91.2,3240.3,0
,Number of Clearances,,0,1,8,40,10,101,0,160,0
,Percent Cleared,,0,13,81,158,47,39,0,48,0
,Number of Arrests,,0,0,13,22,13,125,3,176,0
NJ0201000,MOUNTAINSIDE PD,6925,,,,,,,,,
,Number of Offenses,,0,0,0,3,9,36,7,55,12
,"Rate Per 100,000",,0,0,0,43.2,129.9,519.8,101,794.2,0
,Number of Clearances,,0,0,0,2,4,1,1,8,0
,Percent Cleared,,0,0,0,200,175,20,100,68,0
,Number of Arrests,,0,0,0,3,6,7,0,16,0
NJ0201100,NEW PROVIDENCE PD,13283,,,,,,,,,
,Number of Offenses,,0,0,0,0,5,29,1,35,12
,"Rate Per 100,000",,0,0,0,0,37.6,218.3,7.5,263.5,0
,Number of Clearances,,0,0,0,0,0,2,0,2,0
,Percent Cleared,,0,0,0,0,0,33,0,29,0
,Number of Arrests,,0,0,0,0,0,3,0,3,0
NJ0201200,PLAINFIELD PD,50820,,,,,,,,,
,Number of Offenses,,3,2,90,146,140,607,58,1046,12
,"Rate Per 100,000",,5.9,4,177.1,287.2,275.5,1194.3,114.1,2058.3,0
,Number of Clearances,,1,0,4,57,7,39,2,110,0
,Percent Cleared,,100,0,16,162,20,27,12,42,0
,Number of Arrests,,2,0,6,23,8,46,2,87,0
NJ0201300,RAHWAY PD,30113,,,,,,,,,
,Number of Offenses,,1,1,10,20,25,103,29,189,12
,"Rate Per 100,000",,3.3,3.3,33.2,66.4,83,342,96.4,627.6,0
,Number of Clearances,,0,0,9,13,4,17,1,44,0
,Percent Cleared,,0,0,190,300,73,68,11,94,0
,Number of Arrests,,0,2,8,21,7,32,1,71,0
NJ0201500,ROSELLE PARK PD,13698,,,,,,,,,
,Number of Offenses,,0,2,0,0,11,115,9,137,12
,"Rate Per 100,000",,0,14.6,0,0,80.3,839.5,65.7,1000.1,0
,Number of Clearances,,0,2,0,0,1,19,0,22,0
,Percent Cleared,,0,200,0,0,17,60,0,61,0
,Number of Arrests,,0,0,0,0,1,21,0,22,0
NJ0201400,ROSELLE PD,21787,,,,,,,,,
,Number of Offenses,,1,1,12,46,47,234,30,371,11
,"Rate Per 100,000",,4.6,4.6,55.1,211.1,215.8,1074,137.7,1702.8,0
,Number of Clearances,,0,1,1,33,2,21,0,58,0
,Percent Cleared,,0,100,100,363,14,38,0,65,0
,Number of Arrests,,0,0,1,22,6,23,0,52,0
NJ0201600,SCOTCH PLAINS PD,24423,,,,,,,,,
,Number of Offenses,,0,2,3,9,50,105,7,176,12
,"Rate Per 100,000",,0,8.2,12.3,36.9,204.7,430,28.7,720.7,0
,Number of Clearances,,0,0,1,7,4,10,0,22,0
,Percent Cleared,,0,0,100,330,22,41,0,49,0
,Number of Arrests,,0,0,1,7,6,8,0,22,0
NJ0201700,SPRINGFIELD TWP PD,17762,,,,,,,,,
,Number of Offenses,,0,0,2,1,19,105,10,137,12
,"Rate Per 100,000",,0,0,11.2,5.6,107,591.1,56.3,771.3,0
,Number of Clearances,,0,0,0,1,5,28,1,35,0
,Percent Cleared,,0,0,0,100,71,107,17,103,0
,Number of Arrests,,0,0,0,1,10,35,0,46,0
NJ0201800,SUMMIT PD,22125,,,,,,,,,
,Number of Offenses,,0,1,2,0,9,118,9,139,12
,"Rate Per 100,000",,0,4.5,9,0,40.7,533.5,40.7,628.3,0
,Number of Clearances,,0,0,2,0,1,13,0,16,0
,Percent Cleared,,0,0,100,0,25,47,0,47,0
,Number of Arrests,,0,0,2,0,1,10,0,13,0
NJ0209100,UNION CO PD,0,,,,,,,,,
,Number of Offenses,,0,3,10,9,0,31,0,53,12
,"Rate Per 100,000",,0,0,0,0,0,0,0,0,0
,Number of Clearances,,0,0,5,6,0,6,0,17,0
,Percent Cleared,,0,0,100,200,0,92,0,135,0
,Number of Arrests,,0,0,6,6,0,7,0,19,0
NJ0208900,UNION CO PROSECUTOR'S OFFICE,0,,,,,,,,,
,Number of Offenses,,0,0,0,0,0,0,0,0,12
,"Rate Per 100,000",,0,0,0,0,0,0,0,0,0
,Number of Clearances,,0,0,0,0,0,0,0,0,0
,Percent Cleared,,0,0,0,0,0,0,0,0,0
,Number of Arrests,,4,0,0,0,1,3,0,8,0
NJ0200000,UNION CO SHERIFF'S OFFICE,0,,,,,,,,,
,Number of Offenses,,0,0,0,0,0,0,0,0,12
,"Rate Per 100,000",,0,0,0,0,0,0,0,0,0
,Number of Clearances,,0,0,0,0,0,0,0,0,0
,Percent Cleared,,0,0,0,0,0,0,0,0,0
,Number of Arrests,,0,0,0,0,0,0,0,0,0
NJ0201900,UNION TWP PD,58861,,,,,,,,,
,Number of Offenses,,0,6,27,24,44,792,76,969,12
,"Rate Per 100,000",,0,10.2,45.9,40.8,74.8,1345.6,129.2,1646.3,0
,Number of Clearances,,0,0,5,18,6,316,2,347,0
,Percent Cleared,,0,0,106,303,50,162,13,144,0
,Number of Arrests,,0,1,8,7,10,250,0,276,0
NJ0202000,WESTFIELD PD,30011,,,,,,,,,
,Number of Offenses,,0,0,2,2,9,112,20,145,12
,"Rate Per 100,000",,0,0,6.6,6.6,29.9,373.3,66.6,483.2,0
,Number of Clearances,,0,0,1,2,1,4,1,9,0
,Percent Cleared,,0,0,100,200,25,17,25,28,0
,Number of Arrests,,0,0,1,1,3,13,3,21,0
NJ0202100,WINFIELD PD,1514,,,,,,,,,
,Number of Offenses,,0,0,0,0,3,6,0,9,12
,"Rate Per 100,000",,0,0,0,0,198.2,396.4,0,594.6,0
,Number of Clearances,,0,0,0,0,0,0,0,0,0
,Percent Cleared,,0,0,0,0,0,0,0,0,0
,Number of Arrests,,0,0,0,0,0,0,0,0,0
,County Totals - Union County,,,,,,,,,,
,Population,559751,,,,,,,,,
,Number of Offenses,,12,107,620,889,951,7271,1186,11036,0
,"Rate Per 100,000",,2.2,19.1,110.7,158.9,169.9,1298.9,211.9,1971.6,0
,Number of Clearances,,5,18,114,400,121,1071,16,1745,0
,Percent Cleared,,251,68,78,182,53,62,7,66,0
,Number of Arrests,,7,15,151,347,155,1115,22,1812,0
