,,,,,,,,,,PAGE: 21,
<< Back to Document Map,,,,,,,,,,,
,,,,,,,,,,,
ORINumber,Agency,Population,Murder,Rape,Robbery,Assault,Burglary,Larceny,Auto Theft,Total,Months
,,,,,,,,,,,
NJ0210200,ALPHA PD,2288,,,,,,,,,
,Number of Offenses,,0,0,0,1,7,30,0,38,12
,"Rate Per 100,000",,0,0,0,43.7,305.9,1311.1,0,1660.9,0
,Number of Clearances,,0,0,0,1,1,1,0,3,0
,Percent Cleared,,0,0,0,100,25,14,0,38,0
,Number of Arrests,,0,0,0,1,1,1,0,3,0
NJ0210300,BELVIDERE PD,2592,,,,,,,,,
,Number of Offenses,,0,1,0,7,13,19,0,40,12
,"Rate Per 100,000",,0,38.6,0,270.1,501.5,733.1,0,1543.2,0
,Number of Clearances,,0,0,0,7,2,4,0,13,0
,Percent Cleared,,0,0,0,300,67,133,0,164,0
,Number of Arrests,,0,0,0,7,2,0,0,9,0
NJ0210700,GREENWICH TWP PD,5510,,,,,,,,,
,Number of Offenses,,0,0,1,0,6,65,1,73,11
,"Rate Per 100,000",,0,0,18.1,0,108,1178,18.1,1322.3,0
,Number of Clearances,,0,0,0,0,0,24,0,24,0
,Percent Cleared,,0,0,0,0,0,128,0,112,0
,Number of Arrests,,0,0,5,0,0,36,0,41,0
NJ0210800,HACKETTSTOWN PD,9530,,,,,,,,,
,Number of Offenses,,0,0,0,2,3,63,5,73,12
,"Rate Per 100,000",,0,0,0,21,46.8,1005.7,83.1,1156.5,0
,Number of Clearances,,0,0,0,2,2,22,0,26,0
,Percent Cleared,,0,0,0,200,150,160,0,170,0
,Number of Arrests,,0,0,0,4,1,29,0,34,0
NJ0211200,INDEPENDENCE TWP PD,5495,,,,,,,,,
,Number of Offenses,,0,1,0,2,3,6,1,13,11
,"Rate Per 100,000",,0,18.2,0,28.7,54.6,63,18.2,182.7,0
,Number of Clearances,,0,1,0,1,0,0,0,2,0
,Percent Cleared,,0,100,0,100,0,0,0,39,0
,Number of Arrests,,0,1,0,2,0,0,0,3,0
NJ0211500,LOPATCONG TWP PD,8384,,,,,,,,,
,Number of Offenses,,0,0,0,4,4,61,3,72,12
,"Rate Per 100,000",,0,0,0,47.7,54,727.6,35.7,865,0
,Number of Clearances,,0,0,0,2,1,19,2,24,0
,Percent Cleared,,0,0,0,100,100,97,200,199,0
,Number of Arrests,,0,0,0,7,1,5,0,13,0
NJ0211600,MANSFIELD TWP PD,7431,,,,,,,,,
,Number of Offenses,,0,0,0,1,5,81,2,89,12
,"Rate Per 100,000",,0,0,0,13.5,64.4,1045.7,25.4,1148.8,0
,Number of Clearances,,0,0,0,1,1,38,1,41,0
,Percent Cleared,,0,0,0,100,50,213,100,204,0
,Number of Arrests,,0,0,0,2,0,47,1,50,0
NJ0211700,OXFORD TWP PD,2446,,,,,,,,,
,Number of Offenses,,0,1,0,2,4,27,1,35,12
,"Rate Per 100,000",,0,13.5,0,54.4,108.7,445.7,13.5,635.6,0
,Number of Clearances,,0,0,0,2,0,13,0,15,0
,Percent Cleared,,0,0,0,200,0,54,0,81,0
,Number of Arrests,,0,0,0,3,0,14,0,17,0
NJ0211900,PHILLIPSBURG PD,14395,,,,,,,,,
,Number of Offenses,,0,11,2,10,19,181,9,232,12
,"Rate Per 100,000",,0,76.4,13.9,69.5,131.9,1291.3,62.5,1645.6,0
,Number of Clearances,,0,6,0,8,0,13,1,28,0
,Percent Cleared,,0,183,0,158,0,22,33,36,0
,Number of Arrests,,0,6,0,8,0,11,5,30,0
NJ0212000,POHATCONG PD,3217,,,,,,,,,
,Number of Offenses,,0,3,3,1,37,229,5,278,12
,"Rate Per 100,000",,0,20.8,20.8,6.9,715.6,5332.2,58.9,6155.4,0
,Number of Clearances,,0,0,0,1,1,114,0,116,0
,Percent Cleared,,0,0,0,100,6,209,0,182,0
,Number of Arrests,,0,0,0,2,1,105,0,108,0
NJ0218900,WARREN CO PROSECUTOR'S OFFICE,0,,,,,,,,,
,Number of Offenses,,0,0,0,0,2,53,0,55,12
,"Rate Per 100,000",,0,0,0,0,62.2,1647.5,0,1709.7,0
,Number of Clearances,,0,0,0,0,0,24,0,24,0
,Percent Cleared,,0,0,0,0,0,45,0,44,0
,Number of Arrests,,0,0,0,0,0,21,0,21,0
NJ0210000,WARREN CO SHERIFF'S DEPT,0,,,,,,,,,
,Number of Offenses,,0,0,0,0,0,0,0,0,12
,"Rate Per 100,000",,0,0,0,0,0,0,0,0,0
,Number of Clearances,,0,0,0,0,0,0,0,0,0
,Percent Cleared,,0,0,0,0,0,0,0,0,0
,Number of Arrests,,0,0,0,0,0,0,0,0,0
NJ0212100,WASHINGTON BORO PD,6535,,,,,,,,,
,Number of Offenses,,0,0,0,8,5,23,1,37,12
,"Rate Per 100,000",,0,0,0,122.4,76.5,351.9,15.3,566.1,0
,Number of Clearances,,0,0,0,3,1,2,0,6,0
,Percent Cleared,,0,0,0,200,50,30,0,47,0
,Number of Arrests,,0,0,0,3,1,2,0,6,0
NJ0212200,WASHINGTON TWP PD,6434,,,,,,,,,
,Number of Offenses,,2,0,0,4,9,50,3,68,12
,"Rate Per 100,000",,31.1,0,0,62.1,138.9,774.7,46.3,1053.2,0
,Number of Clearances,,0,0,0,3,4,3,1,11,0
,Percent Cleared,,0,0,0,167,90,23,100,62,0
,Number of Arrests,,1,0,0,2,3,5,1,12,0
,County Totals - Warren County,,,,,,,,,,
,Population,80044,,,,,,,,,
,Number of Offenses,,2,13,3,40,129.6,803,68.6,1059.2,0
,"Rate Per 100,000",,1.9,16.4,3.1,48.2,102.7,736.5,24.5,933.5,0
,Number of Clearances,,0,7,0,26,8,208,3,249,0
,Percent Cleared,,0,184,0,200,31,96,59,93,0
,Number of Arrests,,1,7,5,33,7,208,6,267,0
