City,Zip Code,County,Latitude,Longitude
Avenel,7001,Middlesex,40.578996000000004,-74.27986999999999
Bayonne,7002,Hudson,40.666552,-74.11768000000002
Bloomfield,7003,Essex,40.803000000000004,-74.18895
Fairfield,7004,Essex,40.879049,-74.29378
Boonton,7005,Morris,40.912797999999995,-74.41516
Caldwell,7006,Essex,40.848999,-74.27917
Carteret,7008,Middlesex,40.582504,-74.22997
Cedar Grove,7009,Essex,40.855854,-74.22898
Cliffside Park,7010,Bergen,40.82154,-73.98949
Clifton,7011,Passaic,40.879699,-74.14263000000001
Cranford,7016,Union,40.656302000000004,-74.30371
East Orange,7017,Essex,40.770933,-74.20589
Edgewater,7020,Bergen,40.830733,-73.97334000000001
Essex Fells,7021,Essex,40.827498999999996,-74.28090999999999
Fairview,7022,Bergen,40.816736999999996,-74.00081999999999
Fanwood,7023,Union,40.641852,-74.38533000000001
Fort Lee,7024,Bergen,40.849879,-73.97501
Garfield,7026,Bergen,40.879858,-74.10807
Garwood,7027,Union,40.650802,-74.32351
Glen Ridge,7028,Essex,40.80495,-74.2047
Harrison,7029,Hudson,40.745951,-74.15509
Hoboken,7030,Hudson,40.744851000000004,-74.03294
North Arlington,7031,Bergen,40.791895000000004,-74.13254
Kearny,7032,Hudson,40.763051000000004,-74.13718
Kenilworth,7033,Union,40.674652,-74.2908
Lake Hiawatha,7034,Morris,40.881149,-74.38112
Lincoln Park,7035,Morris,40.923233,-74.29375999999999
Linden,7036,Union,40.633953000000005,-74.25339
Livingston,7039,Essex,40.788733,-74.32134
Maplewood,7040,Essex,40.728901,-74.26821
Millburn,7041,Essex,40.724168,-74.29913
Montclair,7042,Essex,40.81315,-74.21576
Verona,7044,Essex,40.832449,-74.24226999999999
Montville,7045,Morris,40.906152,-74.36742
Mountain Lakes,7046,Morris,40.892021,-74.44022
North Bergen,7047,Hudson,40.7946,-74.01963
Orange,7050,Essex,40.7683,-74.23603
West Orange,7052,Essex,40.78865,-74.25541
Parsippany,7054,Morris,40.860149,-74.4171
Passaic,7055,Passaic,40.857384,-74.12899
Wallington,7057,Bergen,40.852931,-74.10925
Pine Brook,7058,Morris,40.871299,-74.34331
Warren,7059,Somerset,40.633652000000005,-74.5008
Plainfield,7060,Union,40.620102,-74.42481
Port Reading,7064,Middlesex,40.569503999999995,-74.24774000000001
Rahway,7065,Union,40.607103,-74.28099
Clark,7066,Union,40.620336,-74.30934
Colonia,7067,Middlesex,40.591653,-74.31341
Roseland,7068,Essex,40.821799,-74.30476999999999
Watchung,7069,Somerset,40.641207,-74.44369499999999
