Zip Code,City,County
7001,Avenel,Middlesex
7002,Bayonne,Hudson
7003,Bloomfield,Essex
7004,Fairfield,Essex
7005,Boonton,Morris
7006,Caldwell,Essex
7007,Caldwell,Essex
7008,Carteret,Middlesex
7009,Cedar Grove,Essex
7010,Cliffside Park,Bergen
7011,Clifton,Passaic
7012,Clifton,Passaic
7013,Clifton,Passaic
7014,Clifton,Passaic
7015,Clifton,Passaic
7016,Cranford,Union
7017,East Orange,Essex
7018,East Orange,Essex
7019,East Orange,Essex
7020,Edgewater,Bergen
7021,Essex Fells,Essex
7022,Fairview,Bergen
7023,Fanwood,Union
7024,Fort Lee,Bergen
7026,Garfield,Bergen
7027,Garwood,Union
7028,Glen Ridge,Essex
7029,Harrison,Hudson
7030,Hoboken,Hudson
7031,North Arlington,Bergen
7032,Kearny,Hudson
7033,Kenilworth,Union
7034,Lake Hiawatha,Morris
7035,Lincoln Park,Morris
7036,Linden,Union
7039,Livingston,Essex
7040,Maplewood,Essex
7041,Millburn,Essex
7042,Montclair,Essex
7043,Montclair,Essex
7044,Verona,Essex
7045,Montville,Morris
7046,Mountain Lakes,Morris
7047,North Bergen,Hudson
7050,Orange,Essex
7051,Orange,Essex
7052,West Orange,Essex
7054,Parsippany,Morris
7055,Passaic,Passaic
7057,Wallington,Bergen
7058,Pine Brook,Morris
7059,Warren,Somerset
7060,Plainfield,Union
7061,Plainfield,Union
7062,Plainfield,Union
7063,Plainfield,Union
7064,Port Reading,Middlesex
7065,Rahway,Union
7066,Clark,Union
7067,Colonia,Middlesex
7068,Roseland,Essex
7069,Watchung,Somerset
7070,Rutherford,Bergen
7071,Lyndhurst,Bergen
7072,Carlstadt,Bergen
7073,East Rutherford,Bergen
7074,Moonachie,Bergen
7075,Wood Ridge,Bergen
7076,Scotch Plains,Union
7077,Sewaren,Middlesex
7078,Short Hills,Essex
7079,South Orange,Essex
7080,South Plainfield,Middlesex
7081,Springfield,Union
7082,Towaco,Morris
7083,Union,Union
7086,Weehawken,Hudson
7087,Union City,Hudson
7088,Vauxhall,Union
7090,Westfield,Union
7091,Westfield,Union
7092,Mountainside,Union
7093,West New York,Hudson
7094,Secaucus,Hudson
7095,Woodbridge,Middlesex
7096,Secaucus,Hudson
7097,Jersey City,Hudson
7099,Kearny,Hudson
7101,Newark,Essex
7102,Newark,Essex
7103,Newark,Essex
7104,Newark,Essex
7105,Newark,Essex
7106,Newark,Essex
7107,Newark,Essex
7108,Newark,Essex
7109,Belleville,Essex
7110,Nutley,Essex
7111,Irvington,Essex
7112,Newark,Essex
7114,Newark,Essex
7175,Newark,Essex
7182,Newark,Essex
7184,Newark,Essex
7188,Newark,Essex
7189,Newark,Essex
7191,Newark,Essex
7192,Newark,Essex
7193,Newark,Essex
7194,Newark,Essex
7195,Newark,Essex
7198,Newark,Essex
7199,Newark,Essex
7201,Elizabeth,Union
7202,Elizabeth,Union
7203,Roselle,Union
7204,Roselle Park,Union
7205,Hillside,Union
7206,Elizabeth,Union
7207,Elizabeth,Union
7208,Elizabeth,Union
7302,Jersey City,Hudson
7303,Jersey City,Hudson
7304,Jersey City,Hudson
7305,Jersey City,Hudson
7306,Jersey City,Hudson
7307,Jersey City,Hudson
7308,Jersey City,Hudson
7309,Jersey City,Hudson
7310,Jersey City,Hudson
7311,Jersey City,Hudson
7395,Jersey City,Hudson
7399,Jersey City,Hudson
7401,Allendale,Bergen
7403,Bloomingdale,Passaic
7405,Butler,Morris
7407,Elmwood Park,Bergen
7410,Fair Lawn,Bergen
7416,Franklin,Sussex
7417,Franklin Lakes,Bergen
7418,Glenwood,Sussex
7419,Hamburg,Sussex
7420,Haskell,Passaic
7421,Hewitt,Passaic
7422,Highland Lakes,Sussex
7423,Ho Ho Kus,Bergen
7424,Little Falls,Passaic
